code,title,crn,meets,professor,start_date
ACCT 10100,Fundamental Financial Literacy,31163,MW 12:30-1:45p,E. Hums,2024-01-16
ACCT 20100,Foundations of Accountancy,20932,TTh 2-3:15p,J. Miller,2024-01-16
ACCT 20100,Foundations of Accountancy,21285,TTh 12:30-1:45p,J. Miller,2024-01-16
ACCT 20100,Foundations of Accountancy,24486,TTh 12:30-1:45p,C. Donovan,2024-01-16
ACCT 20100,Foundations of Accountancy,24487,TTh 3:30-4:45p,J. Miller,2024-01-16
ACCT 20100,Foundations of Accountancy,25102,TTh 9:30-10:45a,C. Donovan,2024-01-16
ACCT 20100,Foundations of Accountancy,25743,TTh 11a-12:15p,C. Donovan,2024-01-16
ACCT 20100,Foundations of Accountancy,31164,TTh 2-3:15p,M. Favorite,2024-01-16
ACCT 20200,Accounting Analysis for Planning and Control,20206,MWF 9:25-10:15a,E. Hums,2024-01-16
ACCT 20200,Accounting Analysis for Planning and Control,20248,MWF 10:30-11:20a,E. Hums,2024-01-16
ACCT 20200,Accounting Analysis for Planning and Control,20603,TTh 3:30-4:45p,K. Milani,2024-01-16
ACCT 20200,Accounting Analysis for Planning and Control,21759,MWF 8:20-9:10a,E. Hums,2024-01-16
ACCT 20200,Accounting Analysis for Planning and Control,22210,TTh 2-3:15p,K. Milani,2024-01-16
ACCT 20200,Accounting Analysis for Planning and Control,25110,MW 2-3:15p,M. Favorite,2024-01-16
ACCT 20200,Accounting Analysis for Planning and Control,31165,MWF 8:20-9:10a,J. Boulos,2024-01-16
ACCT 30100,Corporate Financial Reporting,21761,MW 11a-12:15p,M. Thompson,2024-01-16
ACCT 30100,Corporate Financial Reporting,26372,MW 12:30-1:45p,M. Thompson,2024-01-16
ACCT 30100,Corporate Financial Reporting,26877,MW 2-3:15p,M. Thompson,2024-01-16
ACCT 30100,Corporate Financial Reporting,31166,TTh 11a-12:15p,M. Favorite,2024-01-16
ACCT 30110,Accounting Measurement and Disclosure I,20996,TTh 9:30-10:45a,T. Morrison,2024-01-16
ACCT 30120,Accounting Measurement and Disclosure II,20043,TTh 12:30-1:45p,F. Mittelstaedt,2024-01-16
ACCT 30120,Accounting Measurement and Disclosure II,31167,TTh 2-3:15p,F. Mittelstaedt,2024-01-16
ACCT 30160,Sustainability: Accounting and Reporting and Impact Investing ,26371,TTh 12:30-1:45p,S. Vera-Munoz,2024-01-16
ACCT 30160,Sustainability: Accounting and Reporting and Impact Investing ,27949,TTh 2-3:15p,S. Vera-Munoz,2024-01-16
ACCT 30210,Strategic Cost Management,21007,TTh 2-3:15p,J. Aland,2024-01-16
ACCT 30210,Strategic Cost Management,31168,TTh 11a-12:15p,J. Aland,2024-01-16
ACCT 30210,Strategic Cost Management,31169,TTh 9:30-10:45a,J. Aland,2024-01-16
ACCT 30280,Data Analytics in Accounting,20263,TTh 12:30-1:45p,J. Burks,2024-01-16
ACCT 40510,Audit and Assurance Services,22891,TTh 11a-12:15p,T. Morrison,2024-01-16
ACCT 40610,Federal Taxation,20887,MW 9:30-10:45a,J. O'Brien,2024-01-16
ACCT 40610,Federal Taxation,22062,TTh 11a-12:15p,J. O'Brien,2024-01-16
ACCT 40620,Taxation of Corporations and Shareholders,25758,MW 12:30-1:45p,TBD,2024-01-16
ACCT 40660,Tax Assistance Program,27952,MW 5-6:30p,C. Creighton,2024-01-16
ACCT 40660,Tax Assistance Program,27955,TTh 5-6:30p,C. Creighton,2024-01-16
ACCT 40670,Tax Assistance Program II,27953,MW 5-6:30p,C. Creighton,2024-01-16
ACCT 40670,Tax Assistance Program II,27956,TTh 5-6:30p,C. Creighton,2024-01-16
ACCT 40750,Ethics in Accounting,25759,TTh 9:30-10:45a,B. Levey,2024-01-16
ACCT 40790,Accounting and Reporting of Not-for-Profit Organizations,23258,MW 8-9:15a,L. Kroll,2024-01-16
ACCT 40840,Corporate Disclosure: Accounting Institutions and Academic Research,26875,TTh 3:30-4:45p,H. White,2024-01-16
ACMS 10140,Elements of Statistics,27963,MWF 9:25-10:15a,M. Walsh,2024-01-16
ACMS 10140,Elements of Statistics,31393,MWF 10:30-11:20a,M. Walsh,2024-01-16
ACMS 10141,Honors Introduction to Probability and Statistics,31394,MWF 9:25-10:15a,V. Woodard,2024-01-16
ACMS 10560,Applied Calculus II,27964,MWF 11:30a-12:20p,A. Volk,2024-01-16
ACMS 11560,Applied Calculus II Lab,27965,Th 5:05-5:55p,TBD,2024-01-16
ACMS 20220,Scientific Computing with Python,26415,MWF 9:25-10:15a,M. Pruitt,2024-01-16
ACMS 20220,Scientific Computing with Python,26416,MWF 10:30-11:20a,M. Pruitt,2024-01-16
ACMS 20340,Statistics for Life Sciences,22336,MWF 8:20-9:10a,R. Ghiaseddin,2024-01-16
ACMS 20340,Statistics for Life Sciences,29494,MW 11a-12:15p,S. Kumar,2024-01-16
ACMS 20550,Introduction to Applied Mathematics Methods I,22866,MWF 10:30-11:20a,C. Acitelli,2024-01-16
ACMS 20620,Applied Linear Algebra,23249,MWF 12:50-1:40p,Z. Xu,2024-01-16
ACMS 20620,Applied Linear Algebra,25095,MWF 11:30a-12:20p,K. Gasior,2024-01-16
ACMS 20750,Introduction to Applied Mathematical Methods II,22337,MWF 11:30a-12:20p,C. Hills,2024-01-16
ACMS 20750,Introduction to Applied Mathematical Methods II,25096,MW 2-3:15p,A. Hashemi,2024-01-16
ACMS 21220,Scientific Computing with Python Lab,26417,T 5:05-5:55p,TBD,2024-01-16
ACMS 21220,Scientific Computing with Python Lab,26418,T 4-4:50p,TBD,2024-01-16
ACMS 21340,Statistics for Life Sciences Lab,26937,Th 5:05-5:55p,TBD,2024-01-16
ACMS 21340,Statistics for Life Sciences Lab,26938,W 4-4:50p,TBD,2024-01-16
ACMS 21340,Statistics for Life Sciences Lab,29495,W 5:05-5:55p,TBD,2024-01-16
ACMS 22550,Introduction to Applied Mathematics Methods I Tutorial,22867,Th 4-4:50p,TBD,2024-01-16
ACMS 22750,Introduction to Applied Mathematics Methods II Tutorial,22338,Th 5:05-5:55p,TBD,2024-01-16
ACMS 22750,Introduction to Applied Mathematics Methods II Tutorial,23949,Th 4-4:50p,TBD,2024-01-16
ACMS 30440,Probability and Statistics,23155,MWF 11:30a-12:20p,M. Walsh,2024-01-16
ACMS 30530,Introduction to Probability,23350,MW 9:30-10:45a,Y. Han,2024-01-16
ACMS 30530,Introduction to Probability,27966,MWF 10:30-11:20a,J. Cummings,2024-01-16
ACMS 30540,Statistics A,22340,MWF 10:30-11:20a,D. Wang,2024-01-16
ACMS 30600,Statistical Methods & Data Analysis I,22868,MWF 12:50-1:40p,J. Steneman,2024-01-16
ACMS 30600,Statistical Methods & Data Analysis I,26955,MWF 11:30a-12:20p,S. Giddens,2024-01-16
ACMS 30810,Design of Experiments,27967,MW 11a-12:15p,V. Woodard,2024-01-16
ACMS 30810,Design of Experiments,31397,MW 2-3:15p,V. Woodard,2024-01-16
ACMS 31600,Statistical Methods & Data Analysis I Lab,23065,T 5:05-5:55p,TBD,2024-01-16
ACMS 31600,Statistical Methods & Data Analysis I Lab,23250,W 4-4:50p,TBD,2024-01-16
ACMS 40100,Mathematical Cryptography with Python,29148,MW 2-3:15p,C. Acitelli,2024-01-16
ACMS 40100,Mathematical Cryptography with Python,32678,MWF 9:25-10:15a,C. Acitelli,2024-01-16
ACMS 40210,Scientific Programming,31398,TTh 11a-12:15p,A. Volk,2024-01-16
ACMS 40212,Advanced Scientific Computing,31399,TTh 12:30-1:45p,Z. Xu,2024-01-16
ACMS 40390,Numerical Analysis,23484,TTh 12:30-1:45p,M. Rosenbaum,2024-01-16
ACMS 40390,Numerical Analysis,25097,TTh 9:30-10:45a,A. Volk,2024-01-16
ACMS 40485,Applied Complex Analysis,31400,MW 12:30-1:45p,J. Cummings,2024-01-16
ACMS 40640,Artificial Neural Networks,27968,MW 11a-12:15p,R. Rosenbaum,2024-01-16
ACMS 40730,Mathematical/Comp Modeling,23066,MW 2-3:15p,M. Pruitt,2024-01-16
ACMS 40852,Advanced Biostatistical Methods,27969,MW 2-3:15p,F. Liu,2024-01-16
ACMS 46800,Directed Readings,25410,TBA,D. Wang,2024-01-16
ACMS 46800,Directed Readings,27282,TBA,A. Huebner,2024-01-16
ACMS 46800,Directed Readings,28878,Th 3:30-4:45p,J. Hauenstein,2024-03-18
ACMS 46800,Directed Readings,32973,TBA,S. Leib,2024-01-16
ACMS 48498,Undergraduate Research,22342,TBA,M. Pruitt,2024-01-16
ACMS 48498,Undergraduate Research,22343,TBA,R. Rosenbaum,2024-01-16
ACMS 48498,Undergraduate Research,22344,TBA,J. Hauenstein,2024-01-16
ACMS 48498,Undergraduate Research,22345,TBA,X. Yu,2024-01-16
ACMS 48498,Undergraduate Research,22346,TBA,V. Woodard,2024-01-16
ACMS 48498,Undergraduate Research,22347,TBA,M. Walsh,2024-01-16
ACMS 48498,Undergraduate Research,22682,TBA,A. Jilkine,2024-01-16
ACMS 48498,Undergraduate Research,22683,TBA,A. Lindsay,2024-01-16
ACMS 48498,Undergraduate Research,22684,TBA,J. Li,2024-01-16
ACMS 48498,Undergraduate Research,22685,TBA,B. Hu,2024-01-16
ACMS 48498,Undergraduate Research,22963,TBA,G. Fu,2024-01-16
ACMS 48498,Undergraduate Research,23067,TBA,A. Huebner,2024-01-16
ACMS 48498,Undergraduate Research,23068,TBA,C. Frederick,2024-01-16
ACMS 48498,Undergraduate Research,23069,TBA,D. Schiavazzi,2024-01-16
ACMS 48498,Undergraduate Research,23070,TBA,L. Lin,2024-01-16
ACMS 48498,Undergraduate Research,23273,TBA,D. Nguyen,2024-01-16
ACMS 48498,Undergraduate Research,23274,TBA,M. Miranda,2024-01-16
ACMS 48498,Undergraduate Research,23275,TBA,S. Castruccio,2024-01-16
ACMS 48498,Undergraduate Research,23950,TBA,F. Liu,2024-01-16
ACMS 48498,Undergraduate Research,24132,TBA,Z. Xu,2024-01-16
ACMS 48498,Undergraduate Research,24473,TBA,Y. Zhang,2024-01-16
ACMS 48498,Undergraduate Research,25304,TBA,S. Leib,2024-01-16
ACMS 48498,Undergraduate Research,25312,TBA,M. Pruitt,2024-01-16
ACMS 48498,Undergraduate Research,26358,TBA,D. Wang,2024-01-16
ACMS 48498,Undergraduate Research,26359,TBA,G. Vinci,2024-01-16
ACMS 48498,Undergraduate Research,27268,TBA,TBD,2024-01-16
ACMS 48500,Undergraduate Thesis,23720,TBA,A. Huebner,2024-01-16
ACMS 48500,Undergraduate Thesis,24134,TBA,F. Liu,2024-01-16
ACMS 60102,Actuarial Modeling II,31401,MW 9:30-10:45a,S. Leib,2024-01-16
ACMS 60110,Predictive Analytics For Actuaries,31402,MW 11a-12:15p,S. Leib,2024-01-16
ACMS 60212,Advanced Scientific Computing,31408,TTh 12:30-1:45p,Z. Xu,2024-01-16
ACMS 60590,Finite Elements in Engineering,22328,TTh 5:05-6:20p,J. Westerink,2024-01-16
ACMS 60650,Applied Partial Differential Equations,23951,TTh 9:30-10:45a,A. Lindsay,2024-01-16
ACMS 60790,Numerical Analysis II,22341,TTh 9:30-10:45a,M. Rosenbaum,2024-01-16
ACMS 60801,Statistical Inference,22869,MW 12:30-1:45p,G. Vinci,2024-01-16
ACMS 60852,Advanced Biostatistical Methods,27970,MW 2-3:15p,F. Liu,2024-01-16
ACMS 60880,Optimization for Data Science,31403,TTh 12:30-1:45p,C. Zhu,2024-01-16
ACMS 60890,Statistical Foundations of Data Science,26939,TTh 2-3:15p,X. Yu,2024-01-16
ACMS 63010,ACMS Colloquium,24117,MTWThF 3:45-4:45p,R. Rosenbaum,2024-01-16
ACMS 63200,ACMS Teaching Seminar,26357,F 11:30a-12:30p,V. Woodard,2024-03-18
ACMS 67695,Directed Master's Project,23156,TBA,C. Frederick,2024-01-16
ACMS 67695,Directed Master's Project,25360,TBA,A. Huebner,2024-01-16
ACMS 67695,Directed Master's Project,25931,TBA,S. Castruccio,2024-01-16
