code,title,crn,meets,professor,start_date
ACCT 10100,Fundamental Financial Literacy,22632,MW 12:30-1:45p,E. Hums,2023-10-23
ACCT 20100,Foundations of Accountancy,10687,TTh 3:30-4:45p,K. Urtel,2023-08-22
ACCT 20100,Foundations of Accountancy,10688,TTh 12:30-1:45p,C. Donovan,2023-08-22
ACCT 20100,Foundations of Accountancy,10689,MW 11a-12:15p,L. Vollon,2023-08-22
ACCT 20100,Foundations of Accountancy,10690,MW 2-3:15p,I. Bastiaansen,2023-08-22
ACCT 20100,Foundations of Accountancy,11190,TTh 9:30-10:45a,C. Donovan,2023-08-22
ACCT 20100,Foundations of Accountancy,11749,TTh 11a-12:15p,C. Donovan,2023-08-22
ACCT 20100,Foundations of Accountancy,12303,MW 12:30-1:45p,I. Bastiaansen,2023-08-22
ACCT 20100,Foundations of Accountancy,14036,TTh 2-3:15p,K. Urtel,2023-08-22
ACCT 20100,Foundations of Accountancy,15367,MW 12:30-1:45p,L. Vollon,2023-08-22
ACCT 20100,Foundations of Accountancy,15658,MW 3:30-4:45p,I. Bastiaansen,2023-08-22
ACCT 20100,Foundations of Accountancy,17312,MW 2-3:15p,L. Vollon,2023-08-22
ACCT 20100,Foundations of Accountancy,19933,TTh 9:30-10:45a,M. Favorite,2023-08-22
ACCT 20100,Foundations of Accountancy,19934,TTh 11a-12:15p,M. Favorite,2023-08-22
ACCT 20200,Accounting Analysis for Planning and Control,15373,MWF 10:30-11:20a,E. Hums,2023-08-22
ACCT 20200,Accounting Analysis for Planning and Control,16045,MWF 9:25-10:15a,E. Hums,2023-08-22
ACCT 20200,Accounting Analysis for Planning and Control,17308,MW 8-9:15a,C. Creighton,2023-08-22
ACCT 20200,Accounting Analysis for Planning and Control,17310,TTh 2-3:15p,K. Milani,2023-08-22
ACCT 20200,Accounting Analysis for Planning and Control,19947,MWF 11:30a-12:20p,E. Hums,2023-08-22
ACCT 30100,Corporate Financial Reporting,16041,TTh 11a-12:15p,J. Watkins,2023-08-22
ACCT 30100,Corporate Financial Reporting,16042,TTh 9:30-10:45a,J. Watkins,2023-08-22
