ACCT 10100	This course is designed to present the advantages of effective financial planning for the student's personal and professional lives.  These advantages include: increased effectiveness in obtaining, using, and predicting one's financial resources throughout a lifetime; increased control of financial affairs by avoiding excessive debt, bankruptcy and potential dependence on others; and freedom from financial hurdles by looking to the future, anticipating expenses and achieving economic goals. This course is for non-business students and degree credit should not be given for both this course and Accountancy I (ACCT / ACTG / BAAL / BAEG / BASC 20100).  Students enrolled in the Mendoza College of Business or in the Accounting Minor cannot take this course. 
ACCT 20100	An introduction to financial accounting and the accounting profession, with an emphasis on the decision-usefulness of accounting information. The course stresses the relation of accounting to economic activity, organizing information for decision-making, the resource acquisition decision, the uses of cash and noncash resources, the accounting for selling and manufacturing activities, and the information needs of multiple owners, lenders and equity holders.  A prerequisite of all accountancy and finance courses.   Course cannot be taken Pass/Fail.
ACCT 20200	An introduction to the use of accounting information and analysis for management decisions and control of an organization. The purpose of the course is to learn techniques necessary to understand an organization's costs to allow for the preparation and analysis of an organization's budget. Further, the course provides techniques to analyze cost-volume-profit relationships and the use of a company's contribution margin to evaluate sales volumes, set appropriate selling prices, and determine appropriate sales mixes necessary to achieve desired profit levels. The course uses cost analysis to understand managerial decisions such as whether to outsource, eliminate or add a business segment, and accept special orders. The course also introduces US taxation by examining different entity types and various taxes that impact individuals and corporations. Course cannot be taken Pass/Fail.
ACCT 30100	This one-semester course is designed for finance majors and others who wish to develop an advanced knowledge of financial reporting in the corporate environment.  The course covers financial statement preparation and analyses with a focus on understanding financial accounting information from a user perspective.  NOTE: FINANCE MAJORS WISHING TO SIT FOR THE CPA EXAM, PURSUE A MASTER'S DEGREE IN ACCOUNTANCY, OR TAKE ADDITIONAL UPPER LEVEL ACCOUNTING COURSES MUST ENROLL IN ACCT 30110 AND ACCT 30120 INSTEAD. Course cannot be taken Pass/Fail.
ACCT 30110	Fair and transparent information about business enterprises is essential to the effective functioning of capital markets and the fairness of resource distribution across society. Accounting Measurement &amp; Disclosure I provides an in-depth examination of how accounting provides decision-useful information to improve business decisions and cultivate a prosperous society.  The primary goals are to understand the role financial accounting plays in providing useful information about the underlying economics of business transactions, to understand the principles that shape financial reporting and disclosure practices, and to evaluate the motivations that lead managers to select one accounting principle over another. The course illustrates these issues through coverage of the economics and accounting related to revenue recognition, cash flows, receivables, inventory, long-lived assets, liabilities, and other financial statement elements. Further, the course develops accounting research skills through written case assignments that require students to analyze and apply the Accounting Standards Codification to complex accounting issues.  Course cannot be taken Pass/Fail.
ACCT 30120	Accounting Measurement &amp; Disclosure II continues the examination of how financial reporting provides decision-useful information to help cultivate a prosperous society. By focusing on the interrelationships among the financial statements and note disclosures, the course significantly enhances the student's ability to analyze financial reports. The course explains the economic and accounting issues related to income taxes, leasing arrangements, share-based compensation, retirement plans, debt securities, passive and active equity investments, foreign currency transactions, business segments, and earnings per share. In addition, the course makes extensive use of cases tied to real companies and explores recent developments in regulation and business. The course is designed to strengthen the technical, communication, and critical thinking skills required to succeed in accounting-related careers.  Course cannot be taken Pass/Fail.
ACCT 30160	In this course students will learn about the environmental, social, and governance (ESG) ecosystem, including, but not limited to, factors influencing stakeholders' demand for ESG information, current and emerging U.S. and international ESG accounting and reporting standards and frameworks, financial and double materiality throughout the U.S. and global jurisdictions, differences between mandatory and voluntary ESG disclosures, accounting for greenhouse gas emissions and the concept of climate risk, ESG metrics and raters, independent third-party assurance on the reliability of ESG information, and current and emerging corporate practices that link executive compensation to ESG metrics. The course concludes with a discussion of impact investing as a discipline and how capital markets and investment strategies deliver societal and environmental impact and generate market returns. Students will interact with guest speakers, discuss case studies and current press articles, and will participate in lively debates and capstone projects presentations.
ACCT 30210	ACCT 30210 is the second of a two-course, six credit-hour sequence that addresses cost and management accounting. The first course, Accounting and Accountancy II (ACCT 20200) introduces managerial concepts and how to use them for classifying and measuring costs, planning, and decision-making. ACCT 30210 builds on and reinforces concepts from the introductory course with applications in accounting and strategic cost management settings. The course is designed to help students become discriminating producers and users of strategic cost accounting information for decision making. The course demonstrates how cost analysts can add value to, and help their organizations meet their strategic goals by proactively managing costs rather than passively measuring costs, and by measuring causes or drivers of costs. The course also includes an in-depth discussion of non-financial measures of environmental performance.  Students will learn about the link between environmental performance measures typically used by firms and managerial evaluation and compensation.  Course cannot be taken Pass/Fail.
ACCT 30280	This course applies data analytics to settings within accounting, using statistics as the primary method and Microsoft Excel as the primary tool along with other add-ins and programs. The aim of the course is to enhance a student's ability to think systematically about data, structure it into a usable and interpretable form, create decision models, and weigh probability, risk, trade offs, and the limitations of data.
ACCT 40510	The study of an independent accountant's auditing and assurance services.  Topics include risk assessment, internal controls, audit testing and evidence, assessment of materiality, auditor's reporting, and independence and ethics.  Course cannot be taken Pass/Fail.
